claim_id,scope,claim,source,usage,restriction
CR-01,CourseRAG,"Hybrid Recall@10=0.9167",D:/project/course-rag/docs/EVALUATION.md,resume_and_interview,"课程特定 Dev 集"
CR-02,CourseRAG,"Complete Evidence Group Recall@8=0.8611",D:/project/course-rag/docs/EVALUATION.md,resume_and_interview,"课程特定 Dev 集"
CR-03,CourseRAG,"Rerank nDCG@10=0.8006",D:/project/course-rag/docs/EVALUATION.md,resume_and_interview,"课程特定 Dev 集"
CR-04,CourseRAG,"Citation Resolvability=1.0",D:/project/course-rag/docs/EVALUATION.md,resume_and_interview,"Dev QA 结果"
CR-05,CourseRAG,"199 passed, 2 skipped",D:/project/agent_coursepilot/docs/refactor/phase_reports/P19_repository_split_ci_portfolio.md,resume_or_readme,"P19 公开仓库测试"
CP-01,CoursePilot,"PostgreSQL Checkpoint 与六类 Interrupt",D:/project/agent_coursepilot/docs/refactor/phase_reports/P12_postgresql_checkpoint_interrupt_approval.md,resume_and_interview,"工程能力"
CP-02,CoursePilot,"ValidationIssue 与 Targeted Repair",D:/project/agent_coursepilot/docs/refactor/phase_reports/P13_validation_targeted_repair.md,resume_and_interview,"P13 Pilot 多为合同/Fake，不作模型质量声明"
CP-03,CoursePilot,"P14 KP extractor calls=0",D:/project/agent_coursepilot/docs/refactor/phase_reports/P14_lesson_workflow_closure.md,interview,"Approved Dev 三例"
CP-04,CoursePilot,"P16 3 decks/46 pages 可打开渲染",D:/project/agent_coursepilot/docs/refactor/phase_reports/P16_ppt_architecture_template_rendering.md,interview,"Dev Pilot，不代表商业视觉质量"
CP-05,CoursePilot,"258 passed, 8 skipped",D:/project/agent_coursepilot/docs/refactor/phase_reports/P19_repository_split_ci_portfolio.md,resume_or_readme,"P19 公开仓库测试"
EV-01,System,"两个公开仓库、HTTP-only、双 Schema",D:/project/agent_coursepilot/docs/refactor/phase_reports/P19_repository_split_ci_portfolio.md,resume_and_interview,"共享 PostgreSQL 实例"
EV-02,System,"P18 formal quality gate failed",D:/project/agent_coursepilot/docs/refactor/phase_reports/P18_coursepilot_system_formal_evaluation.md,mandatory_disclosure,"不得改写为通过"
EV-03,System,"P18 24项人工审核: 7 minor/13 major/4 reject",D:/project/agent_coursepilot/docs/refactor/phase_reports/P18_coursepilot_system_formal_evaluation.md,interview_only,"不能作为正向公开质量指标"
EV-04,System,"危险副作用指标为0",D:/project/agent_coursepilot/docs/refactor/phase_reports/P18_coursepilot_system_formal_evaluation.md,interview,"不能用于掩盖质量 Gate 失败"
EV-05,System,"Track B 7/8 live journeys blocked",D:/project/agent_coursepilot/docs/refactor/phase_reports/P18_coursepilot_system_formal_evaluation.md,mandatory_limitation,"缺可恢复正式 CourseRAG Test Index"
